iter	Passed	Remaining
400	16248	24271
401	16288	24229
402	16329	24189
403	16368	24146
404	16411	24110
405	16450	24067
406	16489	24025
407	16530	23985
408	16579	23956
409	16618	23913
410	16656	23869
411	16698	23831
412	16738	23790
413	16778	23749
414	16816	23704
415	16853	23660
416	16899	23626
417	16946	23595
418	17006	23582
419	17056	23554
420	17106	23526
421	17144	23482
422	17193	23452
423	17243	23425
424	17287	23389
425	17344	23369
426	17391	23338
427	17445	23314
428	17487	23275
429	17526	23233
430	17574	23201
431	17618	23164
432	17660	23126
433	17702	23086
434	17745	23048
435	17790	23013
436	17840	22983
437	17878	22940
438	17926	22908
439	17965	22865
440	18003	22820
441	18037	22771
442	18078	22730
443	18124	22696
444	18176	22669
445	18238	22654
446	18296	22635
447	18356	22617
448	18408	22590
449	18449	22549
450	18509	22532
451	18552	22492
452	18606	22467
453	18667	22449
454	18724	22427
455	18786	22412
456	18842	22388
457	18894	22360
458	18949	22334
459	18997	22301
460	19039	22261
461	19078	22217
462	19124	22180
463	19177	22152
464	19225	22119
465	19274	22086
466	19324	22055
467	19378	22028
468	19429	21998
469	19479	21966
470	19532	21937
471	19585	21908
472	19633	21875
473	19685	21844
474	19738	21815
475	19787	21783
476	19872	21788
477	19962	21800
478	20028	21784
479	20087	21761
480	20138	21729
481	20195	21703
482	20244	21669
483	20282	21623
484	20331	21589
485	20379	21553
486	20429	21520
487	20471	21478
488	20512	21435
489	20544	21382
490	20589	21344
491	20638	21309
492	20682	21269
493	20730	21233
494	20777	21197
495	20821	21157
496	20863	21115
497	20901	21069
498	20932	21016
499	20972	20972
500	21003	20919
501	21043	20875
502	21076	20824
503	21119	20784
504	21161	20742
505	21205	20703
506	21246	20660
507	21284	20614
508	21331	20576
509	21378	20540
510	21420	20497
511	21463	20456
512	21507	20417
513	21544	20370
514	21592	20334
515	21647	20305
516	21700	20273
517	21752	20241
518	21806	20209
519	21853	20172
520	21899	20133
521	21942	20093
522	21980	20046
523	22025	20007
524	22064	19963
525	22093	19909
526	22135	19867
527	22179	19827
528	22218	19782
529	22255	19736
530	22304	19700
531	22343	19655
532	22392	19619
533	22441	19583
534	22494	19551
535	22535	19508
536	22571	19460
537	22612	19417
538	22653	19375
539	22694	19332
540	22734	19288
541	22777	19247
542	22823	19208
543	22873	19173
544	22913	19129
545	22951	19083
546	22988	19038
547	23026	18992
548	23062	18945
549	23102	18902
550	23139	18856
551	23178	18811
552	23216	18765
553	23255	18721
554	23296	18678
555	23332	18632
556	23372	18588
557	23412	18545
558	23443	18494
559	23480	18448
560	23519	18404
561	23556	18359
562	23593	18312
563	23622	18261
564	23661	18216
565	23699	18172
566	23736	18127
567	23774	18081
568	23812	18036
569	23852	17994
570	23880	17941
571	23915	17894
572	23953	17850
573	23989	17804
574	24024	17757
575	24074	17721
576	24112	17676
577	24151	17633
578	24185	17585
579	24221	17539
580	24270	17502
581	24315	17464
582	24355	17420
583	24383	17369
584	24424	17326
585	24471	17288
586	24516	17248
587	24565	17212
588	24613	17174
589	24655	17133
590	24695	17090
591	24729	17043
592	24770	17001
593	24809	16957
594	24849	16914
595	24901	16879
596	24940	16836
597	24982	16794
598	25021	16750
599	25064	16709
600	25106	16668
601	25137	16618
602	25179	16577
603	25210	16528
604	25244	16481
605	25289	16442
606	25326	16397
607	25367	16355
608	25410	16314
609	25448	16270
610	25486	16226
611	25524	16181
612	25560	16136
613	25599	16093
614	25638	16050
615	25681	16009
616	25723	15968
617	25764	15925
618	25804	15882
619	25842	15838
620	25878	15793
621	25915	15749
622	25954	15706
623	25990	15661
624	26027	15616
625	26065	15572
626	26102	15528
627	26140	15484
628	26176	15439
629	26215	15396
630	26254	15353
631	26296	15311
632	26338	15270
633	26373	15225
634	26411	15181
635	26449	15137
636	26489	15095
637	26526	15051
638	26568	15010
639	26610	14968
640	26647	14924
641	26689	14882
642	26730	14841
643	26770	14798
644	26812	14757
645	26854	14716
646	26888	14670
647	26938	14633
648	26979	14591
649	27018	14548
650	27055	14504
651	27088	14458
652	27123	14413
653	27153	14365
654	27193	14323
655	27231	14280
656	27271	14237
657	27304	14191
658	27342	14148
659	27376	14102
660	27413	14059
661	27443	14011
662	27479	13967
663	27510	13920
664	27541	13874
665	27578	13830
666	27617	13788
667	27654	13744
668	27686	13698
669	27726	13656
670	27769	13615
671	27800	13569
672	27837	13526
673	27875	13482
674	27912	13439
675	27944	13393
676	27975	13347
677	28012	13303
678	28049	13260
679	28092	13220
680	28130	13177
681	28165	13132
682	28201	13088
683	28240	13047
684	28278	13003
685	28322	12963
686	28361	12921
687	28398	12878
688	28434	12834
689	28471	12791
690	28511	12749
691	28547	12706
692	28592	12666
693	28624	12621
694	28667	12580
695	28703	12537
696	28738	12493
697	28776	12450
698	28812	12406
699	28849	12364
700	28884	12320
701	28922	12277
702	28959	12234
703	28999	12193
704	29035	12149
705	29075	12108
706	29111	12064
707	29149	12022
708	29183	11978
709	29220	11935
710	29254	11891
711	29286	11846
712	29319	11801
713	29356	11759
714	29388	11714
715	29418	11668
716	29454	11625
717	29484	11580
718	29519	11536
719	29556	11494
720	29586	11448
721	29619	11404
722	29651	11360
723	29683	11315
724	29725	11275
725	29756	11230
726	29788	11186
727	29818	11141
728	29854	11098
729	29886	11053
730	29917	11009
731	29954	10966
732	29986	10922
733	30019	10878
734	30055	10836
735	30093	10794
736	30122	10749
737	30153	10704
738	30188	10661
739	30226	10620
740	30258	10576
741	30293	10533
742	30331	10491
743	30371	10450
744	30421	10412
745	30458	10370
746	30507	10332
747	30542	10289
748	30569	10244
749	30603	10201
750	30648	10161
751	30684	10119
752	30716	10075
753	30754	10033
754	30791	9991
755	30829	9950
756	30856	9904
757	30888	9861
758	30927	9820
759	30965	9778
760	31001	9736
761	31037	9694
762	31071	9651
763	31112	9610
764	31145	9567
765	31183	9525
766	31215	9482
767	31250	9440
768	31288	9398
769	31319	9355
770	31356	9313
771	31384	9269
772	31420	9227
773	31452	9183
774	31488	9141
775	31520	9098
776	31557	9057
777	31590	9014
778	31629	8973
779	31663	8930
780	31697	8888
781	31734	8846
782	31768	8804
783	31799	8761
784	31836	8719
785	31873	8678
786	31911	8636
787	31946	8594
788	31982	8553
789	32011	8509
790	32048	8468
791	32084	8426
792	32113	8382
793	32153	8342
794	32188	8300
795	32223	8258
796	32262	8217
797	32292	8174
798	32322	8131
799	32356	8089
800	32389	8046
801	32422	8004
802	32460	7963
803	32492	7921
804	32527	7879
805	32558	7836
806	32590	7794
807	32624	7752
808	32662	7711
809	32703	7671
810	32739	7629
811	32777	7588
812	32807	7546
813	32843	7504
814	32882	7464
815	32918	7422
816	32956	7381
817	32987	7339
818	33023	7298
819	33062	7257
820	33099	7216
821	33140	7176
822	33175	7135
823	33206	7092
824	33242	7051
825	33270	7008
826	33308	6967
827	33342	6926
828	33382	6885
829	33418	6844
830	33456	6804
831	33496	6763
832	33533	6722
833	33568	6681
834	33605	6640
835	33643	6599
836	33681	6559
837	33717	6518
838	33757	6477
839	33790	6436
840	33826	6395
841	33860	6353
842	33900	6313
843	33940	6273
844	33969	6231
845	34006	6190
846	34047	6150
847	34080	6108
848	34109	6066
849	34142	6025
850	34175	5983
851	34207	5942
852	34237	5900
853	34266	5858
854	34297	5816
855	34328	5774
856	34358	5733
857	34395	5692
858	34424	5650
859	34456	5609
860	34489	5567
861	34519	5526
862	34554	5485
863	34590	5444
864	34627	5404
865	34658	5362
866	34690	5321
867	34725	5280
868	34764	5240
869	34796	5199
870	34828	5158
871	34860	5117
872	34898	5076
873	34928	5035
874	34963	4994
875	35004	4954
876	35040	4914
877	35079	4874
878	35115	4833
879	35154	4793
880	35189	4753
881	35224	4712
882	35261	4672
883	35297	4631
884	35328	4590
885	35360	4549
886	35398	4509
887	35429	4468
888	35466	4428
889	35500	4387
890	35532	4346
891	35564	4305
892	35595	4265
893	35626	4224
894	35657	4183
895	35689	4142
896	35720	4101
897	35753	4061
898	35793	4021
899	35827	3980
900	35860	3940
901	35891	3899
902	35923	3858
903	35955	3818
904	35988	3777
905	36021	3737
906	36064	3697
907	36095	3657
908	36128	3616
909	36160	3576
910	36191	3535
911	36224	3495
912	36257	3455
913	36293	3414
914	36328	3374
915	36360	3334
916	36393	3294
917	36423	3253
918	36458	3213
919	36489	3173
920	36523	3132
921	36553	3092
922	36585	3052
923	36626	3012
924	36660	2972
925	36694	2932
926	36724	2892
927	36757	2851
928	36789	2811
929	36825	2771
930	36857	2731
931	36891	2691
932	36925	2651
933	36967	2612
934	36996	2571
935	37027	2531
936	37060	2491
937	37091	2451
938	37125	2411
939	37186	2373
940	37218	2333
941	37249	2293
942	37281	2253
943	37312	2213
944	37345	2173
945	37376	2133
946	37411	2093
947	37444	2053
948	37478	2014
949	37512	1974
950	37541	1934
951	37579	1894
952	37611	1854
953	37645	1815
954	37685	1775
955	37717	1735
956	37748	1696
957	37780	1656
958	37811	1616
959	37843	1576
960	37874	1537
961	37906	1497
962	37937	1457
963	37969	1417
964	38000	1378
965	38031	1338
966	38064	1298
967	38095	1259
968	38128	1219
969	38159	1180
970	38190	1140
971	38221	1101
972	38254	1061
973	38286	1022
974	38321	982
975	38362	943
976	38391	903
977	38426	864
978	38458	824
979	38492	785
980	38527	746
981	38558	706
982	38592	667
983	38627	628
984	38665	588
985	38699	549
986	38737	510
987	38769	470
988	38801	431
989	38832	392
990	38864	352
991	38898	313
992	38935	274
993	38967	235
994	38997	195
995	39036	156
996	39098	117
997	39163	78
998	39198	39
999	39231	0
